licenca;descr;qtde;genero;mes_ano
PPR;PILOTO PRIVADO - AVIAO;4;F;Mar-18
PPR;PILOTO PRIVADO - AVIAO;5;F;Mar-19
PPR;PILOTO PRIVADO - AVIAO;14;F;Mar-20
PPR;PILOTO PRIVADO - AVIAO;8;F;Mar-21
PPR;PILOTO PRIVADO - AVIAO;8;F;Mar-22
PPR;PILOTO PRIVADO - AVIAO;4;F;Mar-23
PPR;PILOTO PRIVADO - AVIAO;1;F;Mar-73
PPR;PILOTO PRIVADO - AVIAO;1;F;Mar-74
PPR;PILOTO PRIVADO - AVIAO;1;F;Mar-76
PPR;PILOTO PRIVADO - AVIAO;1;F;Mar-80
PPR;PILOTO PRIVADO - AVIAO;3;F;Mar-81
PPR;PILOTO PRIVADO - AVIAO;1;F;Mar-82
PPR;PILOTO PRIVADO - AVIAO;1;F;Mar-83
PPR;PILOTO PRIVADO - AVIAO;3;F;Mar-88
PPR;PILOTO PRIVADO - AVIAO;1;F;Mar-90
PPR;PILOTO PRIVADO - AVIAO;5;F;Mar-91
PPR;PILOTO PRIVADO - AVIAO;1;F;Mar-92
PPR;PILOTO PRIVADO - AVIAO;2;F;Mar-94
PPR;PILOTO PRIVADO - AVIAO;2;F;Mar-95
PPR;PILOTO PRIVADO - AVIAO;3;F;Mar-97
PPR;PILOTO PRIVADO - AVIAO;2;F;Mar-99
PPR;PILOTO PRIVADO - AVIAO;2;F;04-00
PPR;PILOTO PRIVADO - AVIAO;1;F;04-Feb
PPR;PILOTO PRIVADO - AVIAO;3;F;04-Mar
PPR;PILOTO PRIVADO - AVIAO;2;F;04-Jun
PPR;PILOTO PRIVADO - AVIAO;1;F;04-Jul
PPR;PILOTO PRIVADO - AVIAO;5;F;Apr-10
PPR;PILOTO PRIVADO - AVIAO;11;F;Apr-11
PPR;PILOTO PRIVADO - AVIAO;8;F;Apr-12
PPR;PILOTO PRIVADO - AVIAO;14;F;Apr-13
PPR;PILOTO PRIVADO - AVIAO;9;F;Apr-14
PPR;PILOTO PRIVADO - AVIAO;7;F;Apr-15
PPR;PILOTO PRIVADO - AVIAO;6;F;Apr-16
PPR;PILOTO PRIVADO - AVIAO;8;F;Apr-17
PPR;PILOTO PRIVADO - AVIAO;3;F;Apr-18
PPR;PILOTO PRIVADO - AVIAO;12;F;Apr-19
PPR;PILOTO PRIVADO - AVIAO;5;F;Apr-20
PPR;PILOTO PRIVADO - AVIAO;7;F;Apr-21
PPR;PILOTO PRIVADO - AVIAO;10;F;Apr-22
PPR;PILOTO PRIVADO - AVIAO;8;F;Apr-23
PPR;PILOTO PRIVADO - AVIAO;1;F;Apr-67
PPR;PILOTO PRIVADO - AVIAO;1;F;Apr-71
PPR;PILOTO PRIVADO - AVIAO;1;F;Apr-75
PPR;PILOTO PRIVADO - AVIAO;4;F;Apr-77
PPR;PILOTO PRIVADO - AVIAO;2;F;Apr-78
PPR;PILOTO PRIVADO - AVIAO;2;F;Apr-79
PPR;PILOTO PRIVADO - AVIAO;1;F;Apr-80
PPR;PILOTO PRIVADO - AVIAO;1;F;Apr-81
PPR;PILOTO PRIVADO - AVIAO;2;F;Apr-83
PPR;PILOTO PRIVADO - AVIAO;1;F;Apr-84
PPR;PILOTO PRIVADO - AVIAO;1;F;Apr-87
PPR;PILOTO PRIVADO - AVIAO;3;F;Apr-88
PPR;PILOTO PRIVADO - AVIAO;4;F;Apr-89
PPR;PILOTO PRIVADO - AVIAO;1;F;Apr-90
PPR;PILOTO PRIVADO - AVIAO;1;F;Apr-91
PPR;PILOTO PRIVADO - AVIAO;3;F;Apr-92
PPR;PILOTO PRIVADO - AVIAO;1;F;Apr-93
PPR;PILOTO PRIVADO - AVIAO;2;F;Apr-96
PPR;PILOTO PRIVADO - AVIAO;2;F;Apr-97
PPR;PILOTO PRIVADO - AVIAO;3;F;Apr-99
PPR;PILOTO PRIVADO - AVIAO;4;F;05-00
PPR;PILOTO PRIVADO - AVIAO;2;F;05-Jan
PPR;PILOTO PRIVADO - AVIAO;3;F;05-Feb
PPR;PILOTO PRIVADO - AVIAO;3;F;05-Mar
PPR;PILOTO PRIVADO - AVIAO;3;F;05-May
PPR;PILOTO PRIVADO - AVIAO;3;F;05-Jun
PPR;PILOTO PRIVADO - AVIAO;3;F;05-Jul
PPR;PILOTO PRIVADO - AVIAO;3;F;05-Aug
PPR;PILOTO PRIVADO - AVIAO;3;F;05-Sep
PPR;PILOTO PRIVADO - AVIAO;4;F;May-10
PPR;PILOTO PRIVADO - AVIAO;6;F;May-11
PPR;PILOTO PRIVADO - AVIAO;14;F;May-12
PPR;PILOTO PRIVADO - AVIAO;8;F;May-13
PPR;PILOTO PRIVADO - AVIAO;10;F;May-14
PPR;PILOTO PRIVADO - AVIAO;9;F;May-15
PPR;PILOTO PRIVADO - AVIAO;13;F;May-16
PPR;PILOTO PRIVADO - AVIAO;4;F;May-17
PPR;PILOTO PRIVADO - AVIAO;8;F;May-18
